time,goal_position,position,goal_velocity,velocity
0.0,0.0,0.0,0.0,0.0
0.037,0.0,3e-06,0.0,0.000241
0.075,0.0,1.4e-05,0.0,0.000456
0.118,0.0,3.5e-05,0.0,0.000688
0.158,0.0,6.5e-05,0.0,0.000886
0.205,0.0,0.000109,0.0,0.001093
0.206,0.0,0.00011,0.0,0.001097
0.246,0.0,0.000155,0.0,0.001254
0.263,0.0,0.000175,0.0,0.001296
0.306,0.0,0.000231,0.0,0.001402
0.354,2.3e-05,0.000298,0.00136,0.001505
0.401,9.2e-05,0.000367,0.00272,0.001579
0.403,0.000208,0.00037,0.00408,0.001582
0.449,0.00037,0.000445,0.00544,0.002092
0.471,0.000578,0.000502,0.0068,0.002903
0.509,0.000832,0.000631,0.00816,0.004201
0.552,0.001133,0.000843,0.00952,0.005778
0.595,0.00148,0.001126,0.01088,0.007475
0.643,0.001873,0.001528,0.01224,0.009366
0.644,0.002312,0.001538,0.0136,0.009407
0.685,0.002798,0.001956,0.01496,0.011053
0.705,0.003329,0.002184,0.01632,0.011852
0.753,0.003907,0.002798,0.01768,0.013914
0.796,0.004532,0.003439,0.01904,0.015975
0.839,0.005202,0.004168,0.0204,0.017998
0.888,0.005919,0.005095,0.02176,0.019906
0.889,0.006682,0.005115,0.02312,0.019944
0.93,0.007491,0.005964,0.02448,0.021528
0.944,0.008346,0.006268,0.02584,0.022111
0.985,0.009248,0.00721,0.0272,0.023909
1.025,0.010196,0.0082,0.02856,0.025651
1.074,0.01119,0.009506,0.02992,0.027707
1.115,0.01223,0.010675,0.03128,0.029398
1.117,0.013317,0.010733,0.03264,0.02948
1.163,0.01445,0.012127,0.034,0.031098
1.181,0.015629,0.012691,0.03536,0.031655
1.225,0.016854,0.014112,0.03672,0.033008
1.268,0.018126,0.015563,0.03808,0.034637
1.31,0.019444,0.017051,0.03944,0.036321
1.35,0.020808,0.018571,0.0408,0.037844
1.39,0.022261,0.02007,0.0422,0.03909
1.391,0.023675,0.020148,0.04352,0.039153
1.429,0.025178,0.021657,0.04488,0.040355
1.453,0.026727,0.022637,0.04624,0.041518
1.494,0.028322,0.024298,0.0476,0.043724
1.538,0.029964,0.026367,0.04896,0.046253
1.581,0.031651,0.028347,0.05032,0.048093
1.629,0.033385,0.030753,0.05168,0.050217
1.63,0.035166,0.030753,0.05304,0.050217
1.672,0.036992,0.032894,0.0544,0.051777
1.691,0.038865,0.033884,0.05576,0.052459
1.732,0.040784,0.036063,0.05712,0.05392
1.776,0.042749,0.038517,0.05848,0.055258
1.82,0.04476,0.040918,0.05984,0.056504
1.859,0.046818,0.043142,0.0612,0.057638
1.904,0.048922,0.045763,0.06256,0.058945
1.906,0.051072,0.045881,0.06392,0.059003
1.947,0.053268,0.048323,0.06528,0.060321
1.964,0.055578,0.049354,0.06668,0.061024
2.006,0.058004,0.051952,0.06812,0.062747
2.052,0.060274,0.05488,0.06944,0.064752
2.096,0.062658,0.057776,0.0708,0.066927
2.138,0.065088,0.060628,0.07216,0.068975
2.139,0.067565,0.060697,0.07352,0.069022
2.179,0.070088,0.063494,0.07488,0.070913
2.205,0.072733,0.065353,0.07628,0.072129
2.244,0.075272,0.068199,0.0776,0.073792
2.281,0.078012,0.070947,0.079,0.074827
2.32,0.080722,0.073885,0.08036,0.075906
2.363,0.083395,0.077178,0.08168,0.077561
2.404,0.086196,0.080316,0.08304,0.079402
2.446,0.089042,0.08377,0.0844,0.081345
2.448,0.091935,0.083933,0.08576,0.081433
2.489,0.094874,0.087224,0.08712,0.083187
2.51,0.097859,0.089064,0.08848,0.084142
2.547,0.10089,0.092291,0.08984,0.085738
2.591,0.103968,0.096099,0.0912,0.087466
2.638,0.107092,0.100162,0.09256,0.089251
2.685,0.110262,0.104402,0.09392,0.09125
2.687,0.113478,0.104584,0.09528,0.091335
2.727,0.116741,0.108177,0.09664,0.092968
2.749,0.12005,0.110326,0.098,0.093979
2.794,0.123405,0.114503,0.09936,0.095977
2.838,0.126907,0.118768,0.10076,0.097947
2.881,0.130356,0.123122,0.10212,0.100026
2.928,0.133748,0.127872,0.10344,0.102209
2.929,0.137288,0.127975,0.1048,0.102255
2.969,0.140874,0.131995,0.10616,0.103989
2.987,0.144614,0.133978,0.10756,0.104819
3.027,0.148186,0.138204,0.10888,0.106547
3.075,0.152021,0.143367,0.11028,0.108684
3.116,0.155682,0.147859,0.1116,0.110497
3.16,0.1595,0.152762,0.11296,0.112483
3.166,0.163363,0.153438,0.11432,0.11276
3.204,0.167273,0.157754,0.11568,0.114495
3.222,0.17123,0.159707,0.11704,0.115262
3.263,0.175232,0.164585,0.1184,0.117081
3.306,0.179281,0.169656,0.11976,0.118879
3.354,0.183376,0.175408,0.12112,0.120865
3.397,0.187517,0.180642,0.12248,0.122631
3.397,0.191704,0.180642,0.12384,0.122631
3.435,0.195813,0.185329,0.12516,0.124166
3.463,0.200218,0.188946,0.12656,0.125368
3.502,0.204544,0.193739,0.12792,0.12693
3.545,0.208916,0.199232,0.12928,0.128684
3.589,0.213335,0.204934,0.13064,0.130553
3.635,0.218196,0.210982,0.13212,0.132468
3.636,0.222311,0.211114,0.13336,0.132509
3.679,0.226868,0.216847,0.13472,0.134213
3.701,0.231472,0.219808,0.13608,0.135071
3.741,0.236122,0.22524,0.13744,0.136622
3.781,0.240818,0.230736,0.1388,0.138255
3.818,0.24556,0.235878,0.14016,0.139738
3.858,0.250349,0.241498,0.14152,0.141363
3.9,0.255184,0.247327,0.14288,0.143048
3.942,0.260065,0.253658,0.14424,0.144843
3.944,0.264992,0.253803,0.1456,0.144887
3.986,0.269966,0.259924,0.14696,0.146687
4.006,0.274985,0.262866,0.14832,0.147531
4.051,0.280051,0.269545,0.14968,0.149355
4.094,0.285164,0.276,0.15104,0.150976
4.135,0.290474,0.28222,0.15244,0.152489
4.177,0.295527,0.288505,0.15376,0.154213
4.178,0.300778,0.288814,0.15512,0.154297
4.22,0.306075,0.295329,0.15648,0.15603
4.243,0.311418,0.298928,0.15784,0.156966
4.286,0.316808,0.305713,0.1592,0.158694
4.329,0.322244,0.312732,0.16056,0.160423
4.371,0.327726,0.319341,0.16192,0.162087
4.411,0.333254,0.325855,0.16328,0.16369
4.453,0.338829,0.332763,0.16464,0.165355
4.456,0.34445,0.333259,0.166,0.165474
4.5,0.350117,0.340577,0.16736,0.167207
4.516,0.35583,0.343256,0.16872,0.167827
4.558,0.36159,0.350338,0.17008,0.169489
4.599,0.367739,0.35749,0.17152,0.171168
4.64,0.373248,0.364366,0.1728,0.172767
4.682,0.379146,0.371666,0.17416,0.174875
4.724,0.385091,0.379052,0.17552,0.176933
4.725,0.391082,0.379229,0.17688,0.176982
4.769,0.397119,0.387059,0.17824,0.178951
4.789,0.403202,0.390466,0.1796,0.179764
4.828,0.409332,0.397689,0.18096,0.181447
4.868,0.415325,0.404979,0.18228,0.183173
4.911,0.421729,0.412709,0.18368,0.184962
4.955,0.427998,0.421072,0.18504,0.18678
4.999,0.434312,0.429325,0.1864,0.188441
5.0,0.440673,0.429514,0.18776,0.188479
5.043,0.44708,0.437651,0.18912,0.190104
5.058,0.453533,0.440506,0.19048,0.190739
5.103,0.460032,0.44913,0.19184,0.192609
5.146,0.466578,0.457448,0.1932,0.19434
5.19,0.47317,0.466035,0.19456,0.196036
5.237,0.479808,0.475288,0.19592,0.197801
5.237,0.486492,0.475288,0.19728,0.197801
5.279,0.493422,0.483627,0.19868,0.199398
5.299,0.5,0.487622,0.2,0.200144
5.339,0.5068,0.495656,0.2,0.201629
5.38,0.5138,0.503956,0.2,0.203366
5.42,0.5204,0.512123,0.2,0.205018
5.459,0.5272,0.519934,0.2,0.205963
5.503,0.534,0.5288,0.2,0.206477
5.504,0.5408,0.5288,0.2,0.206477
5.545,0.5478,0.537893,0.2,0.206903
5.572,0.5544,0.543479,0.2,0.206957
5.61,0.5612,0.551342,0.2,0.207031
5.654,0.568,0.56045,0.2,0.207044
5.698,0.5748,0.569555,0.2,0.206965
5.745,0.5816,0.579278,0.2,0.206847
5.747,0.5884,0.579691,0.2,0.206836
5.782,0.5952,0.586718,0.2,0.206646
5.808,0.602,0.592294,0.2,0.206498
5.848,0.6088,0.600547,0.2,0.206335
5.892,0.6156,0.609623,0.2,0.206336
5.937,0.6224,0.618906,0.2,0.206327
5.968,0.6292,0.625297,0.2,0.20614
6.007,0.6362,0.633329,0.2,0.205907
6.051,0.643,0.642381,0.2,0.205716
6.053,0.6496,0.642793,0.2,0.205713
6.094,0.6564,0.651429,0.2,0.205656
6.113,0.6632,0.655129,0.2,0.205631
6.155,0.67,0.663761,0.2,0.20551
6.198,0.6768,0.672796,0.2,0.205307
6.24,0.6836,0.681208,0.2,0.205104
6.283,0.6904,0.690016,0.2,0.204746
6.326,0.6972,0.69881,0.2,0.204395
6.328,0.703992,0.699219,0.1992,0.204378
6.37,0.710742,0.707588,0.19784,0.204023
6.385,0.717445,0.710851,0.19648,0.203884
6.428,0.724102,0.719607,0.19512,0.203514
6.469,0.730713,0.727926,0.19376,0.202254
6.507,0.73747,0.735582,0.19236,0.200877
6.549,0.743987,0.743984,0.191,0.199327
6.588,0.750269,0.751724,0.18968,0.197775
6.63,0.756883,0.759993,0.18828,0.196143
6.631,0.763074,0.760189,0.18696,0.196105
6.677,0.769408,0.769157,0.1856,0.193947
6.692,0.775695,0.77206,0.18424,0.193239
6.73,0.781936,0.779366,0.18288,0.191474
