TIME,INPUT,INPUT,OUTPUT,OUTPUT,GOALS,GOALS
TIME,thruster1,thruster2,position,velocity,des_pos,des_vel
0.0,0.2721,0.2685,0.0,0.0,0.0,0.0
0.1,0.2766,0.2733,-0.004425,0.006214,0.0,0.0
0.19,0.298,0.2908,-0.007658,0.01158,0.0,0.0
0.3,0.2845,0.2888,-0.010946,0.018366,0.0,0.0
0.39,0.292,0.2972,-0.013074,0.023918,0.0,0.0
0.49,0.3049,0.299,-0.014858,0.030075,0.0,0.0
0.59,0.28,0.2931,-0.016011,0.036293,0.0,0.0
0.69,0.2875,0.2905,-0.016556,0.042569,0.0,0.0
0.79,0.3003,0.2863,-0.016483,0.048547,0.0,0.0
0.89,0.2716,0.2773,-0.015806,0.054647,0.0,0.0
0.99,0.2755,0.2788,-0.014523,0.060544,0.0,0.0
1.09,0.2629,0.2683,-0.012644,0.066317,0.0,0.0
1.19,0.2514,0.2543,-0.010213,0.071866,0.0,0.0
1.29,0.2658,0.2601,-0.007275,0.077046,0.0,0.0
1.39,0.2453,0.2414,-0.003797,0.082205,0.0,0.0
1.49,0.2289,0.2273,0.000194,0.087144,0.0,0.0
1.59,0.2083,0.2076,0.004656,0.091635,0.0,0.0
1.69,0.1822,0.1885,0.009544,0.095663,0.0,0.0
1.79,0.1867,0.1811,0.014809,0.099159,0.0,0.0
1.89,0.1501,0.1567,0.020402,0.10235,0.0,0.0
1.99,0.1406,0.1392,0.026299,0.105094,0.0,0.0
2.09,0.1452,0.1355,0.032441,0.10734,0.0,0.0
2.19,0.1034,0.104,0.038795,0.109402,0.0,0.0
2.29,0.0941,0.0914,0.045275,0.110982,0.0,0.0
2.39,0.0699,0.069,0.052081,0.112089,0.0,0.0
2.49,0.0568,0.0565,0.058778,0.112766,0.0,0.0
2.59,0.0495,0.0393,0.065589,0.113079,0.0,0.0
2.69,0.0087,0.0151,0.072417,0.113123,0.0,0.0
2.79,-0.004,0.0003,0.079231,0.112683,0.0,0.0
2.89,-0.0044,-0.0099,0.085974,0.111809,0.0,0.0
2.99,-0.0296,-0.0326,0.092619,0.110776,0.0,0.0
3.09,-0.0413,-0.0433,0.099151,0.109447,0.0,0.0
3.19,-0.068,-0.0653,0.105531,0.107813,0.0,0.0
3.29,-0.0668,-0.0717,0.111673,0.105869,0.0,0.0
3.39,-0.0966,-0.0936,0.117725,0.10368,0.0,0.0
3.49,-0.0963,-0.0973,0.123491,0.101245,0.0,0.0
3.59,-0.1154,-0.1157,0.128998,0.098616,0.0,0.0
3.69,-0.1242,-0.1234,0.134238,0.095819,0.0,0.0
3.79,-0.1313,-0.1384,0.139186,0.092815,0.0,0.0
3.89,-0.1515,-0.1452,0.143826,0.08967,0.0,0.0
3.99,-0.1595,-0.1577,0.148142,0.086329,0.0,0.0
4.09,-0.1654,-0.1631,0.152115,0.082802,0.0,0.0
4.19,-0.1792,-0.1745,0.155728,0.079173,0.0,0.0
4.29,-0.1754,-0.1758,0.158973,0.075396,0.0,0.0
4.39,-0.1861,-0.1838,0.161834,0.071565,0.0,0.0
4.49,-0.191,-0.1876,0.164311,0.067678,0.0,0.0
4.59,-0.196,-0.1921,0.166394,0.063691,0.0,0.0
4.7,-0.1953,-0.1933,0.16822,0.059227,0.0,0.0
4.79,-0.1964,-0.1952,0.169358,0.055516,0.0,0.0
4.89,-0.1986,-0.1957,0.170212,0.051473,0.0,0.0
4.99,-0.1957,-0.1947,0.170668,0.04737,0.0,0.0
5.09,-0.1941,-0.1928,0.170714,0.043279,0.0,0.0
5.2,-0.1904,-0.1902,0.170293,0.038824,0.0,0.0
