TIME,INPUT_thr1,INPUT_thr2,OUTPUT_pos,OUTPUT_vel,GOAL_pos,GOAL_vel
0.0,0.099,0.0987,0.0,0.0,0.0,0.0
0.09,0.1067,0.106,-0.002572,0.003246,0.0,0.0
0.19,0.1098,0.1096,-0.00487,0.006541,0.0,0.0
0.29,0.1129,0.1145,-0.006843,0.009748,0.0,0.0
0.39,0.1166,0.1162,-0.008499,0.012882,0.0,0.0
0.49,0.1195,0.1187,-0.009846,0.015925,0.0,0.0
0.59,0.1206,0.1193,-0.010894,0.018882,0.0,0.0
0.69,0.1228,0.1197,-0.011651,0.021728,0.0,0.0
0.79,0.1194,0.1208,-0.012128,0.024474,0.0,0.0
0.89,0.124,0.119,-0.012339,0.027081,0.0,0.0
0.99,0.1239,0.1245,-0.012292,0.029602,0.0,0.0
1.09,0.1181,0.1174,-0.011993,0.032094,0.0,0.0
1.19,0.1161,0.1149,-0.011466,0.034309,0.0,0.0
1.29,0.1112,0.1114,-0.010718,0.036399,0.0,0.0
1.39,0.1101,0.1082,-0.009771,0.03831,0.0,0.0
1.49,0.1031,0.1038,-0.00864,0.040086,0.0,0.0
1.59,0.1004,0.1002,-0.00734,0.041668,0.0,0.0
1.69,0.0957,0.0943,-0.00589,0.043107,0.0,0.0
1.8,0.0921,0.0919,-0.004123,0.044504,0.0,0.0
1.89,0.0855,0.085,-0.002617,0.045502,0.0,0.0
2.0,0.082,0.0817,-0.000603,0.046557,0.0,0.0
2.09,0.0746,0.0747,0.00111,0.047301,0.0,0.0
2.19,0.0707,0.0711,0.003083,0.047952,0.0,0.0
2.29,0.0635,0.0639,0.005116,0.048492,0.0,0.0
2.39,0.0609,0.0597,0.007195,0.048864,0.0,0.0
2.49,0.0513,0.052,0.009306,0.049146,0.0,0.0
2.59,0.0509,0.0499,0.011436,0.049247,0.0,0.0
2.7,0.0423,0.0418,0.013788,0.049309,0.0,0.0
2.79,0.0405,0.0388,0.01571,0.04921,0.0,0.0
2.89,0.0337,0.0349,0.017833,0.04906,0.0,0.0
2.99,0.0274,0.0272,0.019978,0.048806,0.0,0.0
3.09,0.0236,0.0254,0.022009,0.048436,0.0,0.0
3.19,0.0145,0.0169,0.024041,0.04802,0.0,0.0
3.29,0.0171,0.0152,0.026025,0.047453,0.0,0.0
3.39,0.0089,0.0085,0.027953,0.046914,0.0,0.0
3.49,0.0056,0.0054,0.029839,0.046252,0.0,0.0
3.59,0.0016,0.0003,0.031622,0.045565,0.0,0.0
3.69,-0.0057,-0.0045,0.03335,0.044812,0.0,0.0
3.79,-0.009,-0.0084,0.034999,0.043975,0.0,0.0
3.89,-0.0111,-0.011,0.036562,0.0431,0.0,0.0
3.99,-0.0152,-0.016,0.038037,0.042217,0.0,0.0
4.09,-0.0181,-0.0178,0.039408,0.041293,0.0,0.0
4.19,-0.0209,-0.0213,0.040712,0.040342,0.0,0.0
4.29,-0.0231,-0.0242,0.041907,0.03938,0.0,0.0
4.39,-0.0275,-0.0274,0.042995,0.038416,0.0,0.0
4.49,-0.0292,-0.0285,0.044015,0.037392,0.0,0.0
4.59,-0.0318,-0.0313,0.044905,0.036409,0.0,0.0
4.69,-0.033,-0.0327,0.045705,0.035405,0.0,0.0
4.79,-0.0347,-0.0344,0.046405,0.034417,0.0,0.0
4.89,-0.0356,-0.0353,0.047007,0.033436,0.0,0.0
4.99,-0.0378,-0.037,0.047512,0.032478,0.0,0.0
5.09,-0.0373,-0.0365,0.047921,0.031522,0.0,0.0
5.19,-0.0385,-0.0387,0.04824,0.030605,0.0,0.0
5.3,-0.0373,-0.0372,0.04848,0.029624,0.0,0.0
5.39,-0.0359,-0.0375,0.048601,0.02887,0.0,0.0
5.49,-0.0379,-0.0379,0.048657,0.028076,0.0,0.0
5.59,-0.037,-0.0367,0.048635,0.027292,0.0,0.0
5.69,-0.0369,-0.0367,0.048537,0.026561,0.0,0.0
5.79,-0.0376,-0.0353,0.048367,0.025863,0.0,0.0
5.89,-0.0345,-0.0345,0.04813,0.025201,0.0,0.0
5.99,-0.0323,-0.0328,0.047826,0.024599,0.0,0.0
6.09,-0.0332,-0.0334,0.047473,0.024074,0.0,0.0
6.2,-0.031,-0.0311,0.04702,0.023506,0.0,0.0
6.29,-0.0305,-0.0303,0.046606,0.023101,0.0,0.0
6.39,-0.0283,-0.0292,0.04611,0.022686,0.0,0.0
6.49,-0.0266,-0.0272,0.045564,0.022314,0.0,0.0
6.59,-0.0234,-0.0247,0.044989,0.022,0.0,0.0
6.7,-0.0268,-0.025,0.044325,0.021732,0.0,0.0
6.79,-0.0237,-0.0241,0.043759,0.021491,0.0,0.0
6.89,-0.0179,-0.0187,0.043107,0.021274,0.0,0.0
6.99,-0.0217,-0.0202,0.042439,0.021174,0.0,0.0
7.09,-0.0169,-0.0162,0.041759,0.021036,0.0,0.0
